Grant ID,Grant Type,Link,Amount,Recipient,Project Title,Product,Access
12-01,Museum,https://museeminero.com/,,Musée minéralogique et minier de Thetford Mines,French Translation of the Thetford Mines Movie,French translation and creation of video modules for museum displays,In-Person
12-02,Museum/Publication,https://discoverfossils.com/,,Canadian Fossil Discovery Centre,Interpretive Booklet and Brochure Printing,Printing museum interpretive booklets and brochures,In-Person
12-05,Website,https://earthsciencescanada.com/,,Canadian Geoscience Education Network (CGEN) & Canadian Federation of Earth Sciences (CFES),Earth Sciences Canada (ESC) Web Site Improvement and Consolidation,Earth Sciences Canada (ESC) website improvement and consolidation,Online
12-07,Museum/Publication,https://boutique.nbm-mnb.ca/products/a-guide-to-stonehammer-geopark,,New Brunswick Museum,Stonehammer Geopark Guidebook,"Printing of ""A Guide to Stonehammer Geopark"" by Randall F. Miller",Order Online
12-08,Museum/Education,https://www.britanniaminemuseum.ca/pages/school-field-trips,,Britannia Mine Museum,Britannia Mine Museum Mineralogy Program Enhancement,Enhancement of K-12 educational workshops,Book Online
12-09,Museum/Education,https://pme.ubc.ca/,,Pacific Centre for Isotopic and Geochemical Research,"Geochemistry Outreach: Museum Displays, Teacher Training and Online Resources","UBC Pacific Museum of Earth (PME) display, teacher training workshops, and free online resources",In-Person/Online
12-12,Education,https://miningmatters.ca/indigenous-programs/mining-rocks-earth-science-programs,,Mining Matters,Aboriginal Youth Outreach Summer Camp Program - Mining Rocks Earth Science Camps,"Aboriginal Youth Summer Camp ""Mining Rocks Earth Science Programs""",Book Online
12-17,Museum,https://canmoremuseum.com/,,Canmore Museum and Geoscience Centre,Participatory Museum Touch Screen Table Upgrade,Geosceince interactive touch screen display table,In-Person
12-18,Education,https://www.petrasapiens.org/?navigation=1,,PetraSapiens,Interactive Earth Sciences Program (Part 4),Materials and fossils for workshops,Book Online
12-22,Education/Conference,https://gac.ca/events/gac-mac-annual-meeting/,,GAC-MAC 2013,Outreach Program Winnipeg GAC-MAC 2013,Teacher field trip workshop,N/A: Past Event
13-02,Park,http://www.foretlablanche.org/,,Foret-la-Blanche Parc,"Understanding the past to plan for the future: Sedimentology, Paleoecology,
and Public Outreach at Forêt-la-Blanche park, southeastern Québec",Sedimentology and paleoecology interpretive signage,In-Person
13-03,Museum,https://bancroftontario.com/bancroft-attractions/bancroft-mineral-museum/,,Bancroft Gem and Mineral Club,Bancroft Mineral and Mining Museum,Museum restoration and enhanced geological & mining display,In-Person
13-08,Education,https://www.petrasapiens.org/?navigation=1,,PetraSapiens,Interactive Earth Sciences Program (Part 5),Materials and fossils for workshops,Book Online
